kod;pocet
MIJC7848;0
MIKAPB0103;0
111;0
MIJC9621;0
MIJC2439S;0
MIJC9624;0
X002;185
X000;9
X001;0
X003;0
MIJC0484B;0
MIJC3811B;0
X004;0
X005;0
X006;0
X007;0
X008;0
MIJK210;0
X0010;0
X0011;0
4360;0
MIJRW0017;0
