mijeurope_code;mijeurope_ean;name;stock
RVBOX649588;3198246495883;6x REVOL Equinoxe bowl 15cm, Cast iron style;0
RVBOX649578;3198246495784;6x REVOL Equinoxe bowl 19cm, Cast iron style;0
RVBOX652885;3198246528857;2x REVOL Equinoxe serving bowl 33.5cm, Pepper;1
RVBOX651443;3198246514430;6x REVOL Equinoxe bowl 14cm, White Cumulus;2
RVBOX649507;3198246495074;6x REVOL Equinoxe bowl 14cm, Pepper;0
RVBOX655636;3198246556362;6x REVOL Equinoxe dessert plate 21,5cm, White Cotton;1
RVBOX651436;3198246514362;6x REVOL Equinoxe dessert plate 21,5cm, White Cumulus;0
RVBOX649494;3198246494947;6x REVOL Equinoxe dessert plate 21,5cm, Pepper;0
RVBOX652887;3198246528871;2x REVOL Equinoxe serving bowl 33.5cm, White Cumulus;1
RVBOX651437;3198246514379;6x REVOL Equinoxe dinner plate 24cm, White Cumulus;0
RVBOX650431;3198246504318;6x REVOL Equinoxe dinner plate 24cm, Pepper;0
RVBOX655633;3198246556331;6x REVOL Equinoxe dinner plate 26cm, White Cotton;1
RVBOX651438;3198246514386;6x REVOL Equinoxe dinner plate 26cm, White Cumulus;0
RVBOX655642;3198246556423;6x REVOL Equinoxe dinner plate 28cm, White Cotton;0
RVBOX655640;3198246556409;2x REVOL Equinoxe dinner plate 31cm, White Cotton;3
RVBOX649502;3198246495029;2x REVOL Equinoxe dinner plate 31cm, Cast iron style;0
RVBOX651435;3198246514355;6x REVOL Equinoxe bread plate 16cm, White Cumulus;0
RVBOX649594;3198246495944;6x REVOL Equinoxe rice bowl 12cm 30cl, Pepper;0
RVBOX649491;3198246494916;6x REVOL Equinoxe bread plate 16cm, Pepper;0
RVBOX651445;3198246514454;6x REVOL Equinoxe rice bowl 12cm 30cl, White Cumulus;0
RVBOX649508;3198246495081;6x REVOL Equinoxe bowl 14cm, Cast iron style;0
RVBOX651441;3198246514416;6x REVOL Equinoxe bowl 19cm, White Cumulus;0
RVBOX649577;3198246495777;6x REVOL Equinoxe bowl 19cm, Pepper;0
RVBOX651442;3198246514423;6x REVOL Equinoxe deep coupe plate 24cm, White Cumulus;0
RVBOX649606;3198246496064;6x REVOL Equinoxe bowl 6,3cm 5cl, Pepper;0
RVBOX655811;3198246558113;6x REVOL Equinoxe deep coupe plate 24cm, White Cotton;0
RVBOX649505;3198246495050;6x REVOL Equinoxe deep coupe plate 24cm, Cast iron style;0
RVBOX649504;3198246495043;6x REVOL Equinoxe deep coupe plate 24cm, Pepper;1
RVBOX651430;3198246514300;4x REVOL Equinoxe deep coupe plate 27cm, White Cumulus;0
RVBOX651439;3198246514393;6x REVOL Equinoxe dinner plate 28cm, White Cumulus;0
RVBOX649499;3198246494992;6x REVOL Equinoxe dinner plate 28cm, Cast iron style;0
RVBOX651440;3198246514409;6x REVOL Equinoxe bowl 15cm, White Cumulus;0
RVBOX649587;3198246495876;6x REVOL Equinoxe bowl 15cm, Pepper;0
RVBOX649497;3198246494978;6x REVOL Equinoxe dinner plate 28cm, Pepper;0
RVBOX649501;3198246495012;2x REVOL Equinoxe dinner plate 31cm, Pepper;0
RVBOX649495;3198246494954;6x REVOL Equinoxe dessert plate 21,5cm, Cast iron style;0
RVBOX655645;3198246556454;6x REVOL Equinoxe bowl 15cm, White Cotton;1
RVBOX651429;3198246514294;2x REVOL Equinoxe dinner plate 31cm, White Cumulus;0
RVBOX615069;3198246150690;4x REVOL French Classics ramekin 10,5cm 25cl, White;0
RVBOX615066;3198246150669;12x REVOL French Classics ramekin 6,8cm 8cl, White;1
RVBOX615068;3198246150683;6x REVOL French Classics ramekin 9,4cm 17cl, White;0
RVBOX644695;3198246446953;6x REVOL French Classics ramekin 9,4cm 17cl, Cast iron style;1
RVBOX612511;3198246125117;6x REVOL French Classics individual souffle 10cm 30cl, White;0
RVBOX615287;3198246152878;4x REVOL French Classics individual souffle 11.8 cm 37cl, White;0
RVBOX615033;3198246150331;12x REVOL French Classics individual souffle 8cm 15cl, White;0
RVBOX615279;3198246152793;6x REVOL French Classics individual souffle 9cm 23cl, White;0
RVBOX652952;3198246529526;REVOL Froisses giftboxed crumple tumbler 18cl,x2, 100% Recyclay;0
RV652948;3198246529489;REVOL Froisses giftboxed crumple tumbler 8cl,x2, 100% Recyclay;0
RV652960;3198246529601;REVOL Froisses giftboxed crumple tumbler 8cl,x6, 100% Recyclay;0
RVBOX617868;3198246178687;6x REVOL Froisses cappuccino tumbler 18cl, White;0
RVBOX656087;3198246560871;6x REVOL Froisses cappuccino tumbler 18cl, Shell white;0
RVBOX656084;3198246560840;6x REVOL Froisses cappuccino tumbler 18cl, Graphite;0
RVBOX656086;3198246560864;6x REVOL Froisses cappuccino tumbler 18cl, Pebble;0
RVBOX2114;3198240021149;6x REVOL Froisses cappuccino tumbler 18cl, Satin black;0
RVBOX636513;3198246365131;6x REVOL Froisses cappuccino tumbler 18cl, Pepper red;0
RVBOX656083;3198246560833;6x REVOL Froisses cappuccino tumbler 18cl, Green garrigue;0
RVBOX636266;3198246362666;6x REVOL Froisses breakfast tumbler 33cl, White;0
RVBOX656081;3198246560819;6x REVOL Froisses expresso tumbler 8 cla, Shell white;0
RVBOX656078;3198246560789;6x REVOL Froisses expresso tumbler 8 cla, Graphite;0
RVBOX656080;3198246560802;6x REVOL Froisses expresso tumbler 8 cla, Grey pebble;0
RVBOX656077;3198246560772;6x REVOL Froisses expresso tumbler 8 cla, Green garrigue;0
RVBOX616096;3198246160965;6x REVOL Froisses espresso tumbler 8cl, White;0
RVBOX1640;3198240016404;6x REVOL Froisses espresso tumbler 8cl, Satin black;0
RVBOX619088;3198246190887;6x REVOL Froisses espresso tumbler 8cl, Pepper red;0
RVBOX636745;3198246367456;6x REVOL Froisses ristretto tumbler 5cl, White;0
RVBOX652788;3198246527881;6x REVOL cappuccino crumple tumbler, 100% Recyclay;0
RVBOX652786;3198246527867;6x REVOL espresso crumpled tumbler, 100% Recyclay;0
RVBOX646089;3198246460898;6x REVOL Froisses small bowl, deep 25cl, White;0
RVBOX646217;3198246462175;6x REVOL Froisses small bowl, deep 25cl, Satin black;0
RVBOX645954;3198246459540;6x REVOL Froisses small bowl, deep 25cl, Pepper red;0
RVBOX644823;3198246448230;6x REVOL Froisses ramekin 10cm 17cl, White;0
RVBOX655535;3198246555358;4x REVOL Caractere cups wire holder 8cl x 4, Black metal;0
RVBOX650930;3198246509306;6x REVOL Inspired by Revol bread bag, small 12x12x15cm, Cellulose Havana;0
RVBOX650931;3198246509313;6x REVOL Inspired by Revol bread bag, medium 16x16x9cm, Cellulose Grey;0
RVBOX651945;3198246519459;4x REVOL Inspired by Revol cups wire holder 8clx6, Black metal;1
RVBOX638826;3198246388260;6x REVOL Essentiels salt/espresso spoon, White;0
RVBOX638850;3198246388505;4x REVOL Essentiels cappuccino spoon, White;0
RVBOX638963;3198246389632;4x REVOL Essentiels chinese spoon 13cm, White;0
RVBOX651099;3198246510999;4x REVOL Essentiels chinese spoon 9cm, White;3
RVBOX644385;3198246443853;4x REVOL Likid pouring jug 10cm 10cl, Slate;2
RVBOX644386;3198246443860;4x REVOL Likid pouring jug 13cm 25cl, Slate;0
RVBOX654814;3198246548145;6x REVOL No.W mug with handle 33cl, Arctic white;0
RVBOX654815;3198246548152;6x REVOL No.W mug with handle 33cl, Indigo blue;0
RVBOX654813;3198246548138;6x REVOL No.W mug with handle 33cl, Matt grey Recyclay;0
RVBOX654772;3198246547728;REVOL No.W giftboxed cup 20cl, x2, Arctic white;0
RVBOX654774;3198246547742;REVOL No.W giftboxed cup 20cl, x2, Indigo blue;2
RVBOX654769;3198246547698;REVOL No.W giftboxed cup 20cl, x2, Matt grey Recyclay;2
RVBOX654764;3198246547643;REVOL No.W giftboxed cup 8cl, x2, Arctic white;1
RVBOX654766;3198246547667;REVOL No.W giftboxed cup 8cl, x2, Indigo blue;0
RVBOX654762;3198246547629;REVOL No.W giftboxed cup 8cl, x2, Matt grey Recyclay;0
RVBOX654631;3198246546318;6x REVOL No.W cup 20cl, Arctic white;0
RVBOX654632;3198246546325;6x REVOL No.W cup 20cl, Indigo blue;0
RVBOX654630;3198246546301;6x REVOL No.W cup 20cl, Matt grey Recyclay;0
RVBOX654628;3198246546288;6x REVOL No.W cup 8cl, Arctic white;0
RVBOX654629;3198246546295;6x REVOL No.W cup 8cl, Indigo blue;0
RVBOX654627;3198246546271;6x REVOL No.W cup 8cl, Matt grey Recyclay;0
4360;;I don't want any gift;0
MIJC0434;8594197827790;Green Fade Side Plate 21 cm;54
MIJC0473;8594197827806;Recycled White Sand Pasta Bowl 25,5 cm, 600 ml;0
MIJC0652;8594197827813;BB Black Oval Bowl 14 x 12,5 cm, 200 ml;320
MIJC0654;8594197827820;BB Black Side Plate 21 cm;309
MIJC2263;8594197827837;Ridged Alabaster Plate, High Rim, 20,5 cm;131
MIJC2269;8594197827844;Ridged Alabaster Bowl 13 cm, 300 ml;237
MIJC2270;8594197827851;Ridged Alabaster Bowl 19,5 cm, 1000 ml;42
MIJC3275;8594197827868;White Star Bowl 13 cm, 200 ml;38
MIJC3808;8594197827875;Matt Black Bowl 13 cm, 400 ml;87
MIJC4007;8594197827882;Green Fade Irregular Sauce Bowl 8 cm, 20 ml;0
MIJC9015;8594197827899;Earth & Sky Bowl 13 cm, 200 ml;160
MIJX010;8594197827912;Printed Catalog - ENG - without contacts;16
MIJC0476;8594197827929;Recycled White Sand Bowl 25 cm, 1500 ml;0
MIJC0697;8594197827936;Akane Grey Side Irregular Plate 15,5 cm;69
MIJC2259;8594197827943;Ridged Alabaster Sauce Bowl 9 cm, 20 ml;72
MIJC2261;8594197827950;Ridged Alabaster Udon Bowl 18 cm, 700 ml;151
MIJC2295;8594197827967;Ridged Indigo Dinner Plate 25 cm;122
MIJC2296;8594197827974;Ridged Indigo Bowl 25 cm, 800 ml;124
MIJC2334;8594197827981;Ice White Dinner Plate 24,5 cm;269
MIJC2675;8594197827998;Ice Pink Tapas Plate 13 cm;467
MIJC3800;8594197828001;Copper Swirl Bowl 13 cm, 400 ml;493
MIJC3825;8594197828018;Copper Swirl Saucer 13,5 cm;194
MIJC4004;8594197828025;Green Fade Oval Bowl 14 x 12,5 cm, 200 ml;78
MIJC4055;8594197828032;BB Black Mug, 200 ml;188
MIJC4056;8594197828049;Green Fade Mug, 200ml;293
MIJC5164;8594197828056;Earth Bowl 13 cm, 400 ml;70
MIJC0611B;8594197828063;Steel Grey Dinner Plate 28 cm - Version 2;0
MIJC0521;8594197828070;Dark Kurumi Bowl 13 cm, 300 ml;0
MIJC1919;8594197828087;Crazed Grey Bowl 15 cm, 450 ml;155
MIJC1920;8594197828094;Crazed Grey Bowl 13 cm, 200 ml;60
