mijeurope_code;mijeurope_ean;name;stock
MIJC3146;8595730101612;Green Donabe Pot 4 l;0
MIJC4001;8595730101629;Green Fade Ramen Bowl 24,5 cm, 900 ml;114
MIJC5096;8595730101636;Black Square Sauce Bowl 7 x 7 cm, 50 ml;69
MIJC5188;8595730101643;Winter Drift Matcha Tea Bowl 350 ml;46
MIJC5189;8595730101650;Cypress Matcha Tea Bowl 350 ml;90
MIJC5194;8595730101667;Eclipse Matcha Tea Bowl 350 ml;38
MIJC5195;8595730101674;Aozora fleck Matcha Tea Bowl 350 ml;0
MIJC5205;8595730101681;Caramel Matcha Tea Bowl 350 ml;81
MIJC5206;8595730101698;Swept Earth Matcha Tea Bowl 350 ml;28
MIJC6437;8595730101704;Fugu Bowl 14 cm, ? ml;0
MIJC6438;8595730101711;Fugu Dinner Plate 29 cm;18
MIJC6439;8595730101728;Fugu Dinner Plate 24 cm;0
MIJC6440;8595730101735;Fugu Tapas Plate 16 cm;0
MIJC7611;8595730101742;Snow Leaf Tapas Plate 17 cm;89
MIJC7612;8595730101759;Snow Leaf Irregular Dinner Plate 25 cm;79
MIJC7613;8595730101766;Snow Leaf Cup 150 ml;107
MIJC7615;8595730101773;Snow Leaf Bowl 13 cm, 300 ml;77
MIJC7616;8595730101780;Snow Leaf Bowl 18 cm, 500 ml;81
MIJC7617;8595730101797;Snow Leaf Irregular Tapas Plate 13 cm;285
MIJC7619;8595730101803;Snow Leaf Irregular Plate 31 cm;58
MIJC7855;8595730101810;Lines White Rectangular Plate 21 x 13 cm;146
MIJC7936;8595730101827;Sky Blue Dinner Plate 24 cm;0
MIJC8113;8595730101834;DK Green Bowl 17 cm, 600 ml;160
MIJC8157;8595730101841;Blue & Green Bowl 17 cm, 500 ml;146
MIJC0463;8595730101865;Stone Tapas Plate 17 cm;502
MIJC1006;8595730101872;Snow Leaf Irregular Bowl 24 cm, 900 ml;40
MIJC1101;8595730101889;Tea Set Black Bright Blue Drip 3 pcs with Strainer;28
MIJC1102;8595730101896;Tea Set Black Cobalt Teal Drip 3 pcs with Strainer;6
MIJC1163;8595730101902;Earth & Sky Sauce Bowl 12 cm, 150 ml;581
MIJC1179;8595730101919;Orange Donabe Oven Pot with Handle 15 cm, ? ml;33
MIJC1184;8595730101926;Green Donabe Oven Pot with Handle 15 cm, 150 ml;81
MIJC1185;8595730101933;Green Donabe Small Oven Pot 11,5 cm, 200 ml;127
MIJC1186;8595730101940;Green Donabe Oval Oven Pot ? cm, ? ml;49
MIJC1187;8595730101957;Orange Donabe Oven Dish 200 ml;51
MIJC1189;8595730101964;Yellow Donabe Oven Dish 200 ml;50
MIJC1191;8595730101971;Green Donabe Oven Dish 200 ml;88
MIJC1243;8595730101988;Akoya Soba Cup 160 ml;40
MIJC1642;8595730101995;White Sendan Bowl 12 cm, ? ml;157
MIJC1644;8595730102008;Navy Sendan Bowl 12 cm, ? ml;160
MIJC1645;8595730102015;White Sendan Bowl 14 cm, ? ml;43
MIJC1657;8595730102022;Navy Sendan Bowl 17 cm, 300 ml;38
MIJC3001;8595730102039;Ice Sapphire Bowl 21 cm, 700 ml;186
MIJC3709;8595730102046;Bronze Converging Bowl 16 cm, 600 ml;175
MIJC5422;8595730102053;Aqua Splash Oval Dinner Plate 25 x 22 cm;122
MIJC5426;8595730102060;Aqua Splash Oval Dinner Plate 30 x 24 cm;256
MIJC5430;8595730102077;Aqua Splash Irregular Sauce Dish 10,5 cm, 50 ml;270
MIJC7610;8595730102084;Snow Leaf Irregular Tapas Plate 12,5 cm;283
MIJC7618;8595730102091;Snow Leaf Irregular Side Plate 21,5 cm;101
MIJC7621;8595730102107;Stone Slab Double Sauce Dish 2 x 15 ml;486
MIJC7627;8595730102114;Half Moon Plate 27cm Ivory White Glaze;49
MIJC7937B;8595730102121;Shigaraki Brown Rectangular Sauce Dish 30 ml;88
MIJC0862;8595730102138;Wabi Sabi Rectangular Triple Sauce Dish 3 x 10 ml;110
MIJC5429;8595730102145;Aqua Splash Dinner Plate 27 cm;89
MIJC0494;8595730102152;Asphalt Slab Dinner Plate, High Rim, 24 cm;123
MIJC0768;8595730102169;Cocoa Cup 70 ml;290
MIJC0905;8595730102176;Akoya Udon Bowl 16 cm, 900 ml;314
MIJC1123;8595730102183;Terra Rectangular Plate 27 x 17 cm;74
MIJC1124;8595730102190;Terra Rectangular Plate 21 x 17 cm;108
MIJC1127;8595730102206;Terra Rectangular Plate 36 x 9,5 cm;118
MIJC1132;8595730102213;Shiranami Bowl 15 cm, 120 ml;182
MIJC1134;8595730102220;Shiranami Rectangular Plate 36 x 9,5 cm;176
MIJC1192;8595730102237;Green Donabe Oven Dish 200 ml;101
MIJC1242;8595730102244;Akoya Sauce Bowl 20 ml;286
MIJC1647;8595730102251;Navy Sendan Bowl 14 cm, 500 ml;24
MIJC2159;8595730102268;Indigo Blue Ramen Kanso Spoon Rest;188
MIJC2162;8595730102275;Indigo Blue Kanso Spoon Rest Small;179
MIJC2163;8595730102282;Matt Black Kanso Spoon Rest Small;175
MIJC2880;8595730102299;Aurora Bowl 17 cm, 500 ml;114
MIJC3158;8595730102305;Soy Pot Squared 150ml Textured White Glaze;100
MIJC3736;8595730102312;DK Green Saucer 13.5 cm;320
MIJC6124;8595730102329;Black Pearl Square Plate 16 x 16 cm;153
MIJC6244;8595730102336;Cobalt Blue Rectangular Plate 26 x 16,5 cm;54
MIJC8166;8595730102343;Off White Irregular Saucer 13,5 cm, 50 ml;222
MIJC0771;8595730102527;Brown Teapot with Strainer 500 ml;24
MIJC1055;8595730102534;Indigo Blue Chawan Mushi Cup 150 ml;72
MIJC3036;8595730102541;Crazed Grey Pasta Bowl 23 cm, 500 ml;125
MIJC1155;8595730102558;Wabi Sabi Bowl 15 cm, 300 ml;196
MIJC1171;8595730102565;Nin-Rin Bowl 12 cm, 200 ml;251
MIJC1841;8595730102572;Matt Black Kanso Cup 120 ml;455
MIJC1166;8595730102589;Wabi Sabi Bowl 12 cm, 200 ml;185
MIJC7205;8595730102596;Lime Green Sauce Bowl 8 cm, 50 ml;201
MIJC7974;8595730102640;Buttermilk Ramen Bowl 24 cm, 900 ml;206
MIJC7977;8595730102664;Buttermilk Bowl 15 cm, 450 ml;140
MIJC7979;8595730102671;Buttermilk Dinner Plate 25,5 cm;144
MIJC7980;8595730102688;Buttermilk Side Plate 19,5 cm;184
MIJC1121;8595730102695;Terra Platter 26,5 x 23,5 cm;105
MIJC1126;8595730102701;Terra Sauce Dish 60 ml;199
MIJC1125;8595730102718;Terra Bowl 15 cm, 200 ml;228
MIJC1122;8595730102725;Terra Rectangular Plate 22 x 18 cm;109
MIJC5090;8595730102732;Gloss Black Dinner Plate 24 cm;71
MIJC5092;8595730102749;Grey Mingei Sauce Bowl 8 cm, 100 ml;374
MIJC9MIJC1133626;8595730102756;Shiranami Sauce Dish 60 ml;0
MIJC2325;8595730102763;Lopsided Brown Cup 180 ml;96
MIJC0035;8595730102770;Lopsided Blue Cup 180 ml;97
MIJC1655;8595730102787;White Sendan Bowl 17 cm, 300 ml;49
MIJC2227;8595730102794;Wabi Sabi Dinner Plate 24 cm;202
MIJC1177;8595730102800;White & Blue Saucer 14 cm;180
MIJC7978;8595730102817;Buttermilk Bowl 13 cm, 200 ml;183
